"Data Source","World Development Indicators",

"Last Updated Date","2026-01-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Aruba","ABW","Electric power transmission and distribution losses (% of output)","EG.ELC.LOSS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Electric power transmission and distribution losses (% of output)","EG.ELC.LOSS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.88201137620477","7.45540826427033","8.34482724769426","7.827453356178","8.33444190110964","6.98075393386748","8.11491281999808","8.38071842783505","8.92411312787496","8.92591109331197","8.98160864861547","9.02773583766155","7.97428738766901","9.13260164663783","10.8376905323824","9.69988627675227","9.82673298026715","9.84103650625498","10.367959497333","11.3808754988272","11.0497398264734","10.473301420674","10.1960494150391","10.1392471214956","10.7241597410381","10.33143477379","11.0704542502057","10.8310540041982","11.3121765151612","11.3067876698074","12.5974252742194","12.5829958681933","12.9006524402405","24.159647327403","",
"Afghanistan","AFG","Electric power transmission and distribution losses (% of output)","EG.ELC.LOSS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Western and Central","AFW","Electric power transmission and distribution losses (% of output)","EG.ELC.LOSS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.0552024088324","15.0055390772969","15.0458274690193","14.6452458112115","15.8386752136752","16.5821077644339","16.0437612688323","15.5923011171044","16.2791441455848","16.1203622553316","20.7412728056314","20.7142272094357","20.0516881638847","21.849076464249","21.3471961066254","21.0633320945281","20.6002336975462","17.3371808913978","18.6972725038906","18.0387309435517","17.6451019872188","19.0135492399207","19.0725732740235","19.2184056485914","18.6195905963161","18.3247753530167","17.2345003342246","16.3403650724847","16.5511435062913","16.6118402957323","16.4720318625667","16.5524159839492","16.4306378942376","","",
"Angola","AGO","Electric power transmission and distribution losses (% of output)","EG.ELC.LOSS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25.089179548157","28.5867237687366","28.5110876451954","28.4210526315789","28.3769633507853","28.4375","28.4046692607004","10.0349040139616","14.5675265553869","14.5318352059925","14.6020761245675","14.5299145299145","14.6175637393768","12.9323308270677","26.3040570664289","25.1042851725446","13.0740864901106","13.3024691358025","10.2690693655887","9.99185999185999","11.5066984767847","11.276332094176","11.2710765239948","11.2748710390567","11.2724976318282","11.2700699876492","11.2669600293363","11.2580314740665","11.2649128173753","11.2667600560336","11.2673495363355","11.2646538738621","11.2668908202753","","",
"Albania","ALB","Electric power transmission and distribution losses (% of output)","EG.ELC.LOSS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","51.1832524271845","33.4730225248821","41.5733647613435","46.8971379994333","46.7647805125603","51.0395707578806","48.2614510197258","55.7192042846213","62.4192601291838","25.5848222508749","27.2498953537045","36.0857908847185","27.5013376136972","28.8862179487179","11.452015697467","11.5377549145692","45.0579290369298","72.9020979020979","38.530418751646","23.5870818915802","12.6585623678647","24.9343832020997","23.6825396825397","27.9925276620204","23.6875529212532","21.2044105173876","25.751734772552","28.1926646045073","13.0246697065357","20.2458701498271","17.0525127046866","15.1417094398572","13.6818051985147","12.3473240062181","",
"Andorra","AND","Electric power transmission and distribution losses (% of output)","EG.ELC.LOSS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Electric power transmission and distribution losses (% of output)","EG.ELC.LOSS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.34549450902061","9.69406412878803","9.28598666081488","9.43825049964488","9.7305066475027","9.5336366056234","9.63845505450562","10.1986953507483","9.41585669650919","9.753200382359","11.6392549783139","10.970882669761","10.4666533694704","9.30903987088824","10.7218558746828","12.2976213707317","11.426978396011","12.3872127775494","13.7447757742947","13.7606569494169","13.1170856310077","13.027248600608","12.5466905453126","12.5694099879218","12.4670958505579","13.9058518516581","14.6131827035979","14.7922674790205","15.1548273329365","15.6698473414687","16.5932481725081","15.7981202409112","16.2263081049146","","",
"United Arab Emirates","ARE","Electric power transmission and distribution losses (% of output)","EG.ELC.LOSS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.99882903981265","8.99659961961847","8.99994649258922","9.00138057984353","8.9989888776542","6.20046433432071","6.20201716092127","6.20070422535211","6.20208433157643","6.20050638366643","6.20118165431604","6.20077828221996","6.20198053611064","6.20222446916077","6.20218631360055","6.20119279053676","6.20207284926911","6.20230824900649","6.20160819258541","6.20201171555929","6.20230124854974","6.20252781504383","6.20210502532432","6.20210009545888","6.20189626324596","6.20255450099307","6.00788501153434","6.21618809821057","5.81484258973341","5.06377569445448","5.11980190809118","4.88151785953895","4.7272867638544","","",
"Argentina","ARG","Electric power transmission and distribution losses (% of output)","EG.ELC.LOSS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.7441486650723","18.5318580127729","19.6927847176435","19.3244990303814","17.3720937319072","15.9286107679255","16.6356131399415","16.0248361503967","14.8551554938463","14.6584281628054","13.9076791693822","14.5928078621026","15.8832220317948","16.0563013163039","16.0950946858265","15.8089799468653","14.6733189943937","15.3243207538861","14.8949781426591","15.5368293719554","15.8124032853232","14.6379318332741","15.1832306810331","15.984426423455","12.8507100796675","12.2876374211912","13.8785491101752","15.7809453187224","16.1280653950954","14.9510945505356","14.4218131749685","14.5764106045868","20.512890933434","23.8509266611933","",
