country,elec_price_eur_kwh,carbon_intensity_gco2_kwh,renew_share_pct,avg_temp_c,t_d_losses_pct
Ireland,0.04059259259259259,296.40000000000003,15.863333333333335,10.463333333333333,7.52293560426622
Germany,0.047116,374.3766666666667,125.04833333333333,10.956666666666665,4.79057546727544
Netherlands,0.04544444444444445,281.42333333333335,34.255833333333335,11.706666666666669,4.074140694049085
France,0.03783333333333334,57.54333333333333,58.11666666666667,12.950000000000001,7.198168782808775
Spain,0.03265925925925926,177.42999999999998,69.99833333333333,15.14,8.575116581090114
Italy,0.04873703703703704,327.52666666666664,58.15833333333333,14.476666666666667,6.818452942206745
Belgium,0.04264074074074074,133.65,18.48,11.89,3.93129145089747
Poland,0.045630769230769225,666.38,25.310000000000002,10.3,5.989561742016685
Austria,0.03504074074074074,118.42666666666666,42.83583333333333,8.916666666666666,4.427813724866195
Denmark,0.03830833333333333,162.11333333333334,32.487500000000004,9.770000000000001,5.634087444196171
Sweden,0.022716666666666666,38.126666666666665,57.82666666666666,3.823333333333333,5.68922543558895
Finland,0.01892962962962963,92.83,28.236666666666665,3.2433333333333336,3.7312378391632297
Norway,0.023817391304347825,30.290000000000003,72.8725,2.766666666666666,4.636526001601474
